id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_rating,black_rating,opening_eco,opening_name,opening_ply,start_at,end_at,game_duration_mins,base_time,increment_time,hour,rating_diff,game_type
yrSDozT3,False,1504010000000.0,1504010000000.0,101,resign,black,15+15,1094,1300,C41,Philidor Defense #3,5,2017-08-29 12:33:20,2017-08-29 12:33:20,0.0,15,15,12,206,rapid
x31mXlvc,False,1503760000000.0,1503760000000.0,25,resign,white,11+0,1500,1094,D00,Queen's Pawn Game,2,2017-08-26 15:06:40,2017-08-26 15:06:40,0.0,11,0,15,406,rapid
oQklnWWp,False,1502950000000.0,1502950000000.0,14,resign,black,15+15,1094,1676,C55,Italian Game: Anti-Fried Liver Defense,6,2017-08-17 06:06:40,2017-08-17 06:06:40,0.0,15,15,6,582,rapid
QFCZwY1f,False,1502950000000.0,1502950000000.0,3,resign,white,30+60,1094,1068,A40,Horwitz Defense,2,2017-08-17 06:06:40,2017-08-17 06:06:40,0.0,30,60,6,26,classic
5cgBygpI,False,1502950000000.0,1502950000000.0,17,resign,white,15+5,1500,1094,B20,Sicilian Defense: Bowdler Attack,3,2017-08-17 06:06:40,2017-08-17 06:06:40,0.0,15,5,6,406,rapid
UhXXBOMY,True,1502950000000.0,1502950000000.0,36,resign,white,10+0,1307,1106,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4,2017-08-17 06:06:40,2017-08-17 06:06:40,0.0,10,0,6,201,rapid
mCij4hBq,True,1502860000000.0,1502860000000.0,13,resign,black,10+0,1113,1423,B21,Sicilian Defense: Smith-Morra Gambit #2,3,2017-08-16 05:06:40,2017-08-16 05:06:40,0.0,10,0,5,310,rapid
ifUMWtVj,True,1502780000000.0,1502780000000.0,69,mate,white,10+10,1078,1219,D01,Queen's Pawn Game: Chigorin Variation,4,2017-08-15 06:53:20,2017-08-15 06:53:20,0.0,10,10,6,141,rapid
Wf0zuLQQ,True,1502780000000.0,1502780000000.0,43,resign,white,10+10,1825,1079,C45,Scotch Game: Haxo Gambit,8,2017-08-15 06:53:20,2017-08-15 06:53:20,0.0,10,10,6,746,rapid
srz9QfSN,True,1502780000000.0,1502780000000.0,54,mate,black,10+10,1328,1038,D01,Queen's Pawn Game: Chigorin Variation,4,2017-08-15 06:53:20,2017-08-15 06:53:20,0.0,10,10,6,290,rapid
NS6ccssb,True,1502780000000.0,1502780000000.0,53,resign,black,10+10,1056,1156,D10,Slav Defense,4,2017-08-15 06:53:20,2017-08-15 06:53:20,0.0,10,10,6,100,rapid
M3vpf2Ki,True,1502780000000.0,1502780000000.0,66,mate,black,10+10,1077,1148,D06,Queen's Gambit Refused: Marshall Defense,4,2017-08-15 06:53:20,2017-08-15 06:53:20,0.0,10,10,6,71,rapid
fXhNOnOn,True,1502780000000.0,1502780000000.0,64,resign,black,10+10,1358,1036,B21,Sicilian Defense: Smith-Morra Gambit #2,3,2017-08-15 06:53:20,2017-08-15 06:53:20,0.0,10,10,6,322,rapid
DiCTkvZH,True,1502780000000.0,1502780000000.0,64,mate,black,10+10,1200,1002,B52,Sicilian Defense: Canal Attack |  Main Line,6,2017-08-15 06:53:20,2017-08-15 06:53:20,0.0,10,10,6,198,rapid
FSkgvV2E,True,1502780000000.0,1502780000000.0,54,resign,white,10+10,1203,1019,B27,Sicilian Defense,3,2017-08-15 06:53:20,2017-08-15 06:53:20,0.0,10,10,6,184,rapid
F1mRjzPr,False,1502720000000.0,1502720000000.0,21,resign,black,15+3,1019,1500,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6,2017-08-14 14:13:20,2017-08-14 14:13:20,0.0,15,3,14,481,rapid
Lq24M4KQ,False,1502430000000.0,1502430000000.0,11,resign,white,18+0,1422,975,B20,Sicilian Defense: Bowdler Attack,3,2017-08-11 05:40:00,2017-08-11 05:40:00,0.0,18,0,5,447,classic
lHNM8cl5,True,1502430000000.0,1502430000000.0,19,resign,black,10+0,976,1832,B06,Robatsch (Modern) Defense,4,2017-08-11 05:40:00,2017-08-11 05:40:00,0.0,10,0,5,856,rapid
GfeEgLV3,True,1502430000000.0,1502430000000.0,28,resign,white,10+0,1569,978,D00,Blackmar-Diemer Gambit: Tartakower Variation,10,2017-08-11 05:40:00,2017-08-11 05:40:00,0.0,10,0,5,591,rapid
OR6aULrW,False,1502210000000.0,1502210000000.0,22,resign,black,15+0,978,1500,A45,Indian Game,2,2017-08-08 16:33:20,2017-08-08 16:33:20,0.0,15,0,16,522,rapid
Yg006qwa,False,1502210000000.0,1502210000000.0,37,resign,white,15+0,1500,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17,2017-08-08 16:33:20,2017-08-08 16:33:20,0.0,15,0,16,522,rapid
G5S21pXK,False,1502030000000.0,1502030000000.0,34,resign,white,30+30,2449,978,A21,English Opening: King's English Variation |  Reversed Sicilian,3,2017-08-06 14:33:20,2017-08-06 14:33:20,0.0,30,30,14,1471,classic
R9a2DLwe,False,1499700000000.0,1499700000000.0,32,draw,draw,20+25,1207,978,B70,Sicilian Defense: Dragon Variation,10,2017-07-10 15:20:00,2017-07-10 15:20:00,0.0,20,25,15,229,classic
r4LcBZA7,False,1499700000000.0,1499700000000.0,71,resign,black,5+5,1241,978,B23,Sicilian Defense: Closed Variation,3,2017-07-10 15:20:00,2017-07-10 15:20:00,0.0,5,5,15,263,blitz
SDDXGw21,False,1499620000000.0,1499620000000.0,30,resign,white,30+0,1500,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3,2017-07-09 17:06:40,2017-07-09 17:06:40,0.0,30,0,17,522,classic
oqoT4DLS,False,1499610000000.0,1499620000000.0,66,resign,white,40+40,2443,978,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17,2017-07-09 14:20:00,2017-07-09 17:06:40,167.0,40,40,14,1465,classic
eSociDPG,False,1499330000000.0,1499330000000.0,41,resign,white,20+0,1500,978,B21,Sicilian Defense: Smith-Morra Gambit #2,3,2017-07-06 08:33:20,2017-07-06 08:33:20,0.0,20,0,8,522,classic
mpzYDfIK,False,1499330000000.0,1499330000000.0,49,resign,white,15+0,1500,978,B20,Sicilian Defense: Bowdler Attack,3,2017-07-06 08:33:20,2017-07-06 08:33:20,0.0,15,0,8,522,rapid
27zreJYy,False,1499330000000.0,1499330000000.0,3,resign,black,15+0,978,1500,B01,Scandinavian Defense,2,2017-07-06 08:33:20,2017-07-06 08:33:20,0.0,15,0,8,522,rapid
IRYkgI8N,False,1499320000000.0,1499320000000.0,7,resign,white,10+0,1343,978,B20,Sicilian Defense: Bowdler Attack,3,2017-07-06 05:46:40,2017-07-06 05:46:40,0.0,10,0,5,365,rapid
tLnhk43J,False,1499010000000.0,1499010000000.0,35,mate,white,40+40,2436,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17,2017-07-02 15:40:00,2017-07-02 15:40:00,0.0,40,40,15,1458,classic
iq3Kz06t,False,1498400000000.0,1498410000000.0,41,mate,white,40+40,2436,978,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,2017-06-25 14:13:20,2017-06-25 17:00:00,167.0,40,40,14,1458,classic
AAw1TiNN,False,1497980000000.0,1497980000000.0,5,resign,black,10+0,978,1500,C00,French Defense: Normal Variation,3,2017-06-20 17:33:20,2017-06-20 17:33:20,0.0,10,0,17,522,rapid
n4vRYUCW,False,1497900000000.0,1497900000000.0,7,resign,white,10+0,1500,978,C21,King's Pawn Game: Beyer Gambit,4,2017-06-19 19:20:00,2017-06-19 19:20:00,0.0,10,0,19,522,rapid
KYPdQv8e,False,1497890000000.0,1497900000000.0,53,mate,white,10+0,978,1500,A80,Dutch Defense,2,2017-06-19 16:33:20,2017-06-19 19:20:00,167.0,10,0,16,522,rapid
p30PeXvE,False,1497890000000.0,1497890000000.0,36,resign,black,10+0,1500,978,A20,English Opening: King's English Variation,2,2017-06-19 16:33:20,2017-06-19 16:33:20,0.0,10,0,16,522,rapid
PBS4FEld,True,1503220000000.0,1503230000000.0,8,resign,white,16+0,1521,1162,A04,Zukertort Opening: Ross Gambit,2,2017-08-20 09:06:40,2017-08-20 11:53:20,167.0,16,0,9,359,classic
0lDqWVlz,True,1503180000000.0,1503180000000.0,3,resign,white,6+10,1407,1500,B23,Sicilian Defense: Closed Variation,3,2017-08-19 22:00:00,2017-08-19 22:00:00,0.0,6,10,22,93,rapid
O3wdIwg7,True,1504260000000.0,1504260000000.0,28,resign,white,10+0,1492,1458,C26,Vienna Game: Mengarini Variation,5,2017-09-01 10:00:00,2017-09-01 10:00:00,0.0,10,0,10,34,rapid
48ktrxLp,True,1504250000000.0,1504250000000.0,30,resign,black,10+0,1414,1442,C41,Philidor Defense: Larsen Variation,8,2017-09-01 07:13:20,2017-09-01 07:13:20,0.0,10,0,7,28,rapid
i2GBGO0R,True,1504140000000.0,1504140000000.0,44,resign,black,10+0,1457,1294,C44,Scotch Game,5,2017-08-31 00:40:00,2017-08-31 00:40:00,0.0,10,0,0,163,rapid
QZSTu1aT,True,1504140000000.0,1504140000000.0,29,resign,white,10+0,1525,1466,C41,Philidor Defense: Lopez Countergambit,6,2017-08-31 00:40:00,2017-08-31 00:40:00,0.0,10,0,0,59,rapid
9tU9MM6P,True,1504230000000.0,1504230000000.0,37,resign,black,8+10,1207,1579,C00,French Defense: Knight Variation,3,2017-09-01 01:40:00,2017-09-01 01:40:00,0.0,8,10,1,372,rapid
ztpC1S2c,True,1503970000000.0,1503970000000.0,49,resign,white,8+12,1567,1573,A40,Modern Defense,2,2017-08-29 01:26:40,2017-08-29 01:26:40,0.0,8,12,1,6,rapid
qc8aH5XL,True,1503970000000.0,1503970000000.0,32,resign,black,8+12,1578,1605,A40,Horwitz Defense,2,2017-08-29 01:26:40,2017-08-29 01:26:40,0.0,8,12,1,27,rapid
6sTz6t7D,True,1503970000000.0,1503970000000.0,25,resign,white,8+12,1939,1581,E10,Blumenfeld Countergambit #2,6,2017-08-29 01:26:40,2017-08-29 01:26:40,0.0,8,12,1,358,rapid
XuyVUkDi,True,1503970000000.0,1503970000000.0,40,mate,black,5+10,1618,1568,C00,French Defense #2,2,2017-08-29 01:26:40,2017-08-29 01:26:40,0.0,5,10,1,50,blitz
D5Oa4vGO,True,1503960000000.0,1503960000000.0,39,resign,white,7+12,1755,1574,A04,Zukertort Opening: Kingside Fianchetto,2,2017-08-28 22:40:00,2017-08-28 22:40:00,0.0,7,12,22,181,rapid
6QAiH2Yy,True,1503890000000.0,1503890000000.0,57,resign,white,15+10,1561,1596,A45,Indian Game,2,2017-08-28 03:13:20,2017-08-28 03:13:20,0.0,15,10,3,35,rapid
l7top9ps,True,1503810000000.0,1503810000000.0,78,resign,black,5+40,1500,1554,C00,French Defense: Queen's Knight,3,2017-08-27 05:00:00,2017-08-27 05:00:00,0.0,5,40,5,54,blitz
nG3Of11I,True,1503790000000.0,1503790000000.0,61,resign,white,15+5,1544,1461,D00,Queen's Pawn Game: Mason Attack,3,2017-08-26 23:26:40,2017-08-26 23:26:40,0.0,15,5,23,83,rapid
cUzM68JF,True,1503710000000.0,1503710000000.0,44,resign,black,20+5,1563,1335,D00,Queen's Pawn Game: Mason Attack,3,2017-08-26 01:13:20,2017-08-26 01:13:20,0.0,20,5,1,228,classic
NZSBXWl2,True,1503710000000.0,1503710000000.0,62,mate,black,20+5,1579,1470,A41,Queen's Pawn,2,2017-08-26 01:13:20,2017-08-26 01:13:20,0.0,20,5,1,109,classic
DHuXFP6C,True,1503700000000.0,1503700000000.0,87,mate,white,20+5,1617,1590,A45,Indian Game,2,2017-08-25 22:26:40,2017-08-25 22:26:40,0.0,20,5,22,27,classic
00R4UOcU,True,1503700000000.0,1503700000000.0,54,mate,black,20+5,1207,1588,C02,French Defense: Advance |  Steinitz Variation,7,2017-08-25 22:26:40,2017-08-25 22:26:40,0.0,20,5,22,381,classic
IN15cBnB,True,1503690000000.0,1503690000000.0,54,resign,black,15+5,1595,1547,D00,Queen's Pawn Game: Mason Attack,3,2017-08-25 19:40:00,2017-08-25 19:40:00,0.0,15,5,19,48,rapid
WYOts2ME,True,1503690000000.0,1503690000000.0,37,resign,white,15+5,1855,1599,C01,French Defense: Exchange Variation,5,2017-08-25 19:40:00,2017-08-25 19:40:00,0.0,15,5,19,256,rapid
oWFQ8mnz,True,1503690000000.0,1503690000000.0,50,resign,white,15+5,1589,1547,A40,Horwitz Defense,2,2017-08-25 19:40:00,2017-08-25 19:40:00,0.0,15,5,19,42,rapid
i2I8y9Xh,True,1503690000000.0,1503690000000.0,131,resign,white,30+0,1571,1728,D02,Queen's Pawn Game: London System,5,2017-08-25 19:40:00,2017-08-25 19:40:00,0.0,30,0,19,157,classic
osPCRdxJ,True,1503680000000.0,1503690000000.0,48,resign,white,30+0,1720,1579,C00,French Defense: Chigorin Variation,3,2017-08-25 16:53:20,2017-08-25 19:40:00,167.0,30,0,16,141,classic
Mi1AmkiI,True,1503620000000.0,1503620000000.0,47,resign,black,15+5,1579,2105,D02,Queen's Pawn Game: London System,5,2017-08-25 00:13:20,2017-08-25 00:13:20,0.0,15,5,0,526,rapid
7kK30TmL,True,1503550000000.0,1503550000000.0,64,mate,black,15+5,1768,1560,C00,French Defense: La Bourdonnais Variation,3,2017-08-24 04:46:40,2017-08-24 04:46:40,0.0,15,5,4,208,rapid
ThCXomTn,True,1503540000000.0,1503540000000.0,61,resign,white,15+5,1552,1436,D00,Queen's Pawn Game: Mason Attack,3,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,15,5,2,116,rapid
4dH72B3d,True,1503460000000.0,1503460000000.0,57,mate,white,15+5,1536,1667,D02,Queen's Pawn Game: London System,5,2017-08-23 03:46:40,2017-08-23 03:46:40,0.0,15,5,3,131,rapid
4jRtIZTy,True,1503460000000.0,1503460000000.0,51,resign,white,15+5,1521,1549,A10,English Opening: Anglo-Lithuanian Variation,2,2017-08-23 03:46:40,2017-08-23 03:46:40,0.0,15,5,3,28,rapid
wNK2HdLb,True,1503450000000.0,1503450000000.0,58,mate,black,15+5,1251,1545,A00,Crab Opening,3,2017-08-23 01:00:00,2017-08-23 01:00:00,0.0,15,5,1,294,rapid
d62Tg4dc,True,1503450000000.0,1503450000000.0,71,resign,white,15+5,1537,1408,D00,Queen's Pawn Game: Mason Attack,3,2017-08-23 01:00:00,2017-08-23 01:00:00,0.0,15,5,1,129,rapid
TaSQfvww,True,1503440000000.0,1503440000000.0,114,resign,white,15+5,1522,1512,A40,Queen's Pawn,1,2017-08-22 22:13:20,2017-08-22 22:13:20,0.0,15,5,22,10,rapid
Xwpzq87m,True,1503430000000.0,1503430000000.0,39,resign,white,15+5,1602,1532,C18,French Defense: Winawer Variation |  Advance Variation #2,11,2017-08-22 19:26:40,2017-08-22 19:26:40,0.0,15,5,19,70,rapid
AHmgnsKz,True,1503430000000.0,1503430000000.0,20,resign,black,15+5,1543,1593,D02,Queen's Pawn Game: London System,5,2017-08-22 19:26:40,2017-08-22 19:26:40,0.0,15,5,19,50,rapid
MfNml1rl,True,1503430000000.0,1503430000000.0,48,resign,black,30+0,1556,1539,D00,Queen's Pawn Game: Mason Attack,3,2017-08-22 19:26:40,2017-08-22 19:26:40,0.0,30,0,19,17,classic
mEAvshF2,True,1503370000000.0,1503370000000.0,34,mate,black,20+10,1409,1548,C00,French Defense: Knight Variation,3,2017-08-22 02:46:40,2017-08-22 02:46:40,0.0,20,10,2,139,classic
ySsVdRfw,True,1503370000000.0,1503370000000.0,51,resign,white,20+10,1539,1418,D02,Queen's Pawn Game: London System,5,2017-08-22 02:46:40,2017-08-22 02:46:40,0.0,20,10,2,121,classic
ylLqmXwb,True,1503360000000.0,1503370000000.0,69,resign,white,20+10,1603,1550,C00,French Defense: Queen's Knight,3,2017-08-22 00:00:00,2017-08-22 02:46:40,167.0,20,10,0,53,classic
8mceLIXN,True,1503360000000.0,1503360000000.0,28,resign,white,20+10,1542,1399,D00,Queen's Pawn Game: Steinitz Countergambit,4,2017-08-22 00:00:00,2017-08-22 00:00:00,0.0,20,10,0,143,classic
YmJpuJkM,True,1503360000000.0,1503360000000.0,62,resign,black,20+10,1546,1877,D02,Queen's Pawn Game: London System,5,2017-08-22 00:00:00,2017-08-22 00:00:00,0.0,20,10,0,331,classic
PNNfempy,True,1503360000000.0,1503360000000.0,62,mate,black,20+10,1134,1535,A47,Queen's Indian Defense,4,2017-08-22 00:00:00,2017-08-22 00:00:00,0.0,20,10,0,401,classic
TVfozmF5,True,1503360000000.0,1503360000000.0,85,mate,white,20+10,1513,1784,A40,Horwitz Defense,2,2017-08-22 00:00:00,2017-08-22 00:00:00,0.0,20,10,0,271,classic
4LX77G3m,True,1503350000000.0,1503350000000.0,38,resign,white,20+10,1501,1445,D02,Queen's Pawn Game: London System,5,2017-08-21 21:13:20,2017-08-21 21:13:20,0.0,20,10,21,56,classic
nBfSissu,False,1503970000000.0,1503970000000.0,14,resign,white,45+0,1500,1500,C50,Italian Game: Giuoco Pianissimo |  Normal,8,2017-08-29 01:26:40,2017-08-29 01:26:40,0.0,45,0,1,0,classic
h1unxHlo,True,1504200000000.0,1504200000000.0,113,draw,draw,15+0,1745,1714,D06,Queen's Gambit Refused: Marshall Defense,4,2017-08-31 17:20:00,2017-08-31 17:20:00,0.0,15,0,17,31,rapid
OIyTAHCP,True,1504190000000.0,1504190000000.0,62,resign,white,15+0,1734,1748,D06,Queen's Gambit Refused: Marshall Defense,4,2017-08-31 14:33:20,2017-08-31 14:33:20,0.0,15,0,14,14,rapid
bnCnIJSz,True,1503540000000.0,1503550000000.0,101,resign,white,10+0,1942,1739,C10,French Defense: Marshall Variation,6,2017-08-24 02:00:00,2017-08-24 04:46:40,167.0,10,0,2,203,rapid
ZzWyY1f8,True,1503540000000.0,1503540000000.0,75,outoftime,white,10+0,1724,1855,C45,Scotch Game,7,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,131,rapid
mkKSL3Ev,True,1503540000000.0,1503540000000.0,135,mate,white,10+0,1951,1729,C02,French Defense: Advance Variation |  Main Line,11,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,222,rapid
aVwWNjNR,True,1503540000000.0,1503540000000.0,81,outoftime,white,10+0,1726,1388,C41,Philidor Defense,5,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,338,rapid
DNUmSBH4,True,1503540000000.0,1503540000000.0,46,resign,black,10+0,1735,1806,D80,Gruenfeld Defense,6,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,71,rapid
Tlng5eqN,True,1503540000000.0,1503540000000.0,70,mate,black,10+0,1597,1728,C00,French Defense: Knight Variation,3,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,131,rapid
wljkejE0,True,1503540000000.0,1503540000000.0,39,resign,white,10+0,1743,1738,C10,French Defense: Rubinstein Variation |  Fort Knox Variation,10,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,5,rapid
iNZuj8bY,True,1503540000000.0,1503540000000.0,91,resign,white,10+0,1721,1750,D30,Queen's Gambit Declined: Traditional Variation,7,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,29,rapid
Kan2JKOp,True,1503540000000.0,1503540000000.0,137,outoftime,white,10+0,1746,1487,D20,Queen's Gambit Accepted: Old Variation,5,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,259,rapid
bCUwPEJ7,True,1503540000000.0,1503540000000.0,46,resign,black,10+0,1744,1735,C02,French Defense: Advance Variation |  Paulsen Attack,9,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,9,rapid
zTwM10Si,True,1503540000000.0,1503540000000.0,18,resign,black,10+0,1749,1631,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,118,rapid
PBQ5Il7e,True,1503540000000.0,1503540000000.0,28,resign,black,10+0,1769,1396,D20,Queen's Gambit Accepted: Old Variation,5,2017-08-24 02:00:00,2017-08-24 02:00:00,0.0,10,0,2,373,rapid
z1LTn4pe,True,1503680000000.0,1503680000000.0,40,resign,black,5+8,1795,1760,A46,Yusupov-Rubinstein System,5,2017-08-25 16:53:20,2017-08-25 16:53:20,0.0,5,8,16,35,blitz
7NKtCk3B,True,1503670000000.0,1503680000000.0,111,mate,white,15+0,1729,1795,D31,Queen's Gambit Declined: Queen's Knight Variation,5,2017-08-25 14:06:40,2017-08-25 16:53:20,167.0,15,0,14,66,rapid
TMtvbg3w,True,1503590000000.0,1503590000000.0,54,mate,black,10+0,1795,1784,C64,Ruy Lopez: Classical Variation,6,2017-08-24 15:53:20,2017-08-24 15:53:20,0.0,10,0,15,11,rapid
0OXPfTEt,True,1503590000000.0,1503590000000.0,33,resign,white,10+0,1770,1872,D02,Queen's Pawn Game: Zukertort Variation,3,2017-08-24 15:53:20,2017-08-24 15:53:20,0.0,10,0,15,102,rapid
YzMf40DM,True,1503590000000.0,1503590000000.0,90,resign,black,10+0,1783,1721,D02,Queen's Pawn Game: London System,5,2017-08-24 15:53:20,2017-08-24 15:53:20,0.0,10,0,15,62,rapid
q3NHAFFp,True,1503590000000.0,1503590000000.0,90,resign,black,10+0,1884,1768,C64,Ruy Lopez: Classical Variation |  Central Variation,7,2017-08-24 15:53:20,2017-08-24 15:53:20,0.0,10,0,15,116,rapid
Gz7Icasx,True,1503590000000.0,1503590000000.0,40,mate,black,10+0,1756,1756,C24,Bishop's Opening: Ponziani Gambit,5,2017-08-24 15:53:20,2017-08-24 15:53:20,0.0,10,0,15,0,rapid
3n4poRIX,True,1503590000000.0,1503590000000.0,49,outoftime,white,8+0,1724,1958,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,5,2017-08-24 15:53:20,2017-08-24 15:53:20,0.0,8,0,15,234,rapid
XRuQPSzH,True,1503580000000.0,1503580000000.0,50,resign,black,10+0,2036,1706,A08,King's Indian Attack: French Variation,6,2017-08-24 13:06:40,2017-08-24 13:06:40,0.0,10,0,13,330,rapid
XPZikam7,True,1503500000000.0,1503500000000.0,59,mate,white,10+0,1706,925,D02,Queen's Pawn Game: London System,5,2017-08-23 14:53:20,2017-08-23 14:53:20,0.0,10,0,14,781,rapid
5SNh53F9,True,1504080000000.0,1504080000000.0,26,outoftime,black,15+15,1244,1219,B00,Nimzowitsch Defense: Mikenas Variation,4,2017-08-30 08:00:00,2017-08-30 08:00:00,0.0,15,15,8,25,rapid
ezdEKpqG,True,1504080000000.0,1504080000000.0,23,mate,white,15+15,1215,921,C50,Italian Game,5,2017-08-30 08:00:00,2017-08-30 08:00:00,0.0,15,15,8,294,rapid
WyQjriEX,True,1503960000000.0,1503960000000.0,118,mate,black,15+15,1350,1201,B03,Alekhine Defense #2,5,2017-08-28 22:40:00,2017-08-28 22:40:00,0.0,15,15,22,149,rapid
vAOIY0jj,True,1503950000000.0,1503960000000.0,66,mate,black,15+15,1210,1280,B29,Sicilian Defense: Nimzowitsch Variation,4,2017-08-28 19:53:20,2017-08-28 22:40:00,167.0,15,15,19,70,rapid
gHld9WSr,True,1503910000000.0,1503910000000.0,120,draw,draw,15+15,1139,1212,C50,Four Knights Game: Italian Variation,8,2017-08-28 08:46:40,2017-08-28 08:46:40,0.0,15,15,8,73,rapid
dh2xQb3X,True,1503840000000.0,1503840000000.0,36,mate,black,15+15,1220,1341,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11,2017-08-27 13:20:00,2017-08-27 13:20:00,0.0,15,15,13,121,rapid
